대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,신구대장구분코드,신구대장구분코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),주용도코드,주용도코드명,기타용도,세대수(세대),가구수(가구),주건축물수,부속건축물수,부속건축물면적(㎡),총주차수,옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자
서울특별시 성북구 안암동2가 96-1번지,11290,12200,0,0096,0001,100911389,1,일반,1,총괄표제부,1,신대장,,용문중고등학교,,,,0,,,0,,,22821.3,6203.03,27.18,21553.72,19345.53,84.77,Z8000,교육연구및복지시설,교육연구및복지시설,0,0,4,0,0,106,0,0,0,0,25,0,81,0,,20020904,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 안암동2가 106번지,11290,12200,0,0106,0000,1009146,1,일반,1,총괄표제부,1,신대장,,,,,,0,,,0,,,0,120.69,0,289.2,199.91,0,01000,단독주택,다가구용단독주택,0,7,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 안암동2가 143-16번지,11290,12200,0,0143,0016,1009148,1,일반,1,총괄표제부,1,신대장,,,,,,0,,,0,,,0,81.98,0,81.98,81.98,0,01000,단독주택,주택,0,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 안암동2가 143-17번지,11290,12200,0,0143,0017,1009149,1,일반,1,총괄표제부,1,신대장,,,,,,0,,,0,,,0,194.08,0,578.8,379.16,0,01000,단독주택,다가구용단독주택,0,15,4,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 안암동3가 46번지,11290,12300,0,0046,0000,100911038,1,일반,1,총괄표제부,1,신대장,,,,,,0,,,0,,,0,92.56,0,92.56,92.56,0,01000,단독주택,주택,0,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 안암동3가 54번지,11290,12300,0,0054,0000,100911520,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 고려대로12길 19 (안암동3가),,,,,0,112904856596,12302,0,19,0,0,3584.39,0,5080.26,4740.46,0,10000,교육연구시설,"강의실, 교사",0,0,5,1,6.61,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 안암동3가 78-2번지,11290,12300,0,0078,0002,10091100241114,2,집합,1,총괄표제부,1,신대장,,,,,,8,,,0,,,842.78,490.47,58.2,1683.12,1683.12,199.71,02000,공동주택,도시형생활주택(단지형다세대),28,0,3,0,0,23,0,0,0,0,13,513.23,10,106.4,20170410,20170417,20180108,2017,3070211,건축과,1101,1101,0,,0,0,,0,,0,20220813
서울특별시 성북구 안암동3가 99번지,11290,12300,0,0099,0000,100911521,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 고려대로8길 67 (안암동3가),,,,,0,112904856728,12302,0,67,0,0,161.46,0,268.24,268.24,0,01000,단독주택,"주택, 근린생활시설",0,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 안암동3가 108-9번지,11290,12300,0,0108,0009,10091100233033,1,일반,1,총괄표제부,1,신대장,,,,,,0,,,0,0,0,80.3,42.79,53.28,58.67,58.67,73.06,01000,단독주택,단독주택,0,1,2,0,0,0,0,0,0,0,0,0,0,0,20160622,20160623,20160902,2016,3070211,건축과,1202,1202,0,,0,0,,0,,0,20220813
서울특별시 성북구 안암동3가 110-17번지,11290,12300,0,0110,0017,10091360,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 안암로5길 60-3 (안암동3가),,,,,0,112904121428,12301,0,60,3,0,89.91,0,89.91,89.91,0,01000,단독주택,주택,0,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 안암동3가 130번지,11290,12300,0,0130,0000,10091936,1,일반,1,총괄표제부,1,신대장,,,,,,0,,,0,,,0,211.44,0,211.44,211.44,0,04000,제2종근린생활시설,"제2종근린생활시설(교회), 주택",0,1,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 안암동3가 130-5번지,11290,12300,0,0130,0005,10091100233686,2,집합,1,총괄표제부,1,신대장,,타임스카이뷰,,,,3,,,0,,,992.4,557.05,56.13,2252.68,1955.67,197.06,02000,공동주택,도시형생활주택/단지형단세대주택,30,0,3,0,0,24,0,0,0,0,16,367.82,8,92,20160115,20160127,20161110,2016,3070211,건축과,1101,1101,0,,0,0,,0,,0,20220813
서울특별시 성북구 안암동3가 130-9번지,11290,12300,0,0130,0009,100911039,2,집합,1,총괄표제부,0,구대장,,영암교회,,,,2,,,0,,,2087.28,1249.42,59.86,5426.23,3677.4,176.18,06000,종교시설,"종교시설<교회,교육연구시설>",0,0,1,0,0,16,0,0,0,0,0,0,11,238,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 안암동3가 134-6번지,11290,12300,0,0134,0006,100911522,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 안암로9길 72-7 (안암동3가),,,,,0,112904121431,12301,0,72,7,0,94.48,0,127.08,127.08,0,01000,단독주택,주택,0,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 안암동3가 135번지,11290,12300,0,0135,0000,10091676,2,집합,1,총괄표제부,1,신대장,서울특별시 성북구 안암로9길 30 (안암동3가),,,,,0,112904121431,12301,0,30,,0,2490.3,0,28620.38,28043.18,0,02000,공동주택,아파트(204세대),204,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 안암동3가 136-1번지,11290,12300,0,0136,0001,100911040,2,집합,1,총괄표제부,1,신대장,서울특별시 성북구 안암로9나길 14 (안암동3가),,,,,0,112904121432,12301,0,14,0,0,2611.41,0,18714.91,18369,0,02000,공동주택,아파트,359,0,7,0,0,70,0,0,0,0,0,0,70,0,,,19711209,,,,,,0,,0,0,,0,,0,20231127
서울특별시 성북구 안암동3가 138번지,11290,12300,0,0138,0000,1000000000000005854513,2,집합,1,총괄표제부,1,신대장,서울특별시 성북구 고려대로14길 39 (안암동3가),해링턴플레이스 안암,,,,0,112904856597,12302,0,39,,10106.7,2455.17,24.29,30328.49,18702.7,185.05,02000,공동주택,공동주택(아파트),199,0,5,12,11495.34,224,0,0,0,0,222,9438.21,0,0,20170112,20211018,20240729,,,,,,10,1+,145.8,0,4,56.15,,0,20250630
서울특별시 성북구 안암동5가 1-2번지,11290,12500,0,0001,0002,100911275,1,일반,1,총괄표제부,1,신대장,,,,,,36,,,0,0,0,640850,184052.2,28.72,1045250.81,628780.71,98.12,10000,교육연구시설,교육연구시설,0,0,58,0,0,4516,0,0,0,0,3917,0,599,0,20010801,20010914,20031101,2001,3070088,건축과,1101,1101,0,,0,0,,0,,0,20251112
서울특별시 성북구 안암동5가 9-1번지,11290,12500,0,0009,0001,1000000000000004162933,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 개운사길 86-6 (안암동5가),파인트리 빌,,,,6,112904121487,12501,0,86,6,675.65,396.14,58.63,1349.02,1349.02,199.67,01000,단독주택,단지형 다중 주택/제2종근린생활시설,0,2,2,0,0,12,0,0,0,0,0,0,12,148.5,20221018,20230626,20240807,2022,3070271,건축과,1101,1101,0,,0,0,,0,,0,20240912
서울특별시 성북구 안암동5가 12-81번지,11290,12500,0,0012,0081,10091426,1,일반,1,총괄표제부,1,신대장,,,,,,0,,,0,,,0,104.41,0,204.75,204.75,0,01000,단독주택,"다가구주택(2가구),제1종근린생활시설",0,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 안암동5가 50-1번지,11290,12500,0,0050,0001,10091100233654,1,일반,1,총괄표제부,1,신대장,,,,,,0,,,0,,,1157.5,546.83,47.24,1022.54,1022.54,88.34,10000,교육연구시설,,0,0,2,0,0,5,0,0,0,0,0,0,5,0,20160527,20160708,20161110,2016,3070211,건축과,1101,1101,0,,0,0,,0,,0,20220813
서울특별시 성북구 안암동5가 85-11번지,11290,12500,0,0085,0011,10091100267911,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 안암로 97 (안암동5가),,,,,0,112903005035,12502,0,97,,0,0,0,64.63,64.63,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 안암동5가 100-5번지,11290,12500,0,0100,0005,10091537,1,일반,1,총괄표제부,1,신대장,,,,,,0,,,0,,,0,188.92,0,367.46,356.45,0,01000,단독주택,주택,0,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 안암동5가 102-34번지,11290,12500,0,0102,0034,100911737,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 고려대로22길 41 (안암동5가),,,,,0,112904856602,12501,0,41,0,0,253.99,0,368.93,347.44,0,01000,단독주택,주택,0,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 안암동5가 103-10번지,11290,12500,0,0103,0010,100911739,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 고려대로24가길 12 (안암동5가),,,,,0,112904856604,12501,0,12,0,0,152.76,0,544.29,456.87,0,01000,단독주택,"주택,근린생활시설",0,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 안암동5가 104번지,11290,12500,0,0104,0000,100911740,1,일반,1,총괄표제부,1,신대장,,,,,,0,,,0,0,0,0,283,0,283,283,0,01000,단독주택,주택,0,8,8,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 안암동5가 104-24번지,11290,12500,0,0104,0024,100911741,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 안암로 89-6 (안암동5가),,,,,0,112903005035,12502,0,89,6,0,125.36,0,125.36,125.36,0,01000,단독주택,주택,0,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 안암동5가 104-46번지,11290,12500,0,0104,0046,100911745,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 안암로 73-3 (안암동5가),,,,,0,112903005035,12502,0,73,3,0,234.64,0,388.78,361.28,0,04000,제2종근린생활시설,"제1종근린생활시설, 주택",0,1,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 안암동5가 117번지,11290,12500,0,0117,0000,10091517,1,일반,1,총괄표제부,1,신대장,,,,,,0,,,0,,,0,157.22,0,157.22,157.22,0,01000,단독주택,주택,0,5,5,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 안암동5가 126-1번지,11290,12500,0,0126,0001,10091518,1,일반,1,총괄표제부,1,신대장,,,,,,0,,,0,0,0,0,27489.64,0,58351.6,28327.69,0,10000,교육연구시설,"교육연구및복지시설,주택",0,3,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 안암동5가 126-16번지,11290,12500,0,0126,0016,10091519,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 안암로 145 (안암동5가),,,,,0,112903005035,12502,0,145,0,0,0,0,310130.08,0,0,10000,교육연구시설,"교육연구및복지시설,제1종근린생활시설,제2종근린생활시설",0,0,9,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20240912
서울특별시 성북구 안암동5가 126-28번지,11290,12500,0,0126,0028,10091520,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 안암로 145 (안암동5가),,,,,0,112903005035,12502,0,145,,0,3324.08,0,10630.51,9593.38,0,10000,교육연구시설,교육연구및복지시설,0,3,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 안암동5가 134-42번지,11290,12500,0,0134,0042,10091522,1,일반,1,총괄표제부,1,신대장,,,,,,0,,,0,,,0,114.97,0,165.55,165.55,0,03000,제1종근린생활시설,"주택,점포,제1종근린생활시설",0,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 안암동5가 136-6번지,11290,12500,0,0136,0006,10091523,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 안암로9가길 99 (안암동5가),,,,,0,112904121430,12502,0,99,,0,79.8,0,168.12,123.96,0,04000,제2종근린생활시설,"제2종근린생활시설,주택",0,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 안암동5가 143번지,11290,12500,0,0143,0000,10091524,1,일반,1,총괄표제부,1,신대장,,,,,,0,,,0,,,0,343.48,0,343.48,343.48,0,17000,공장,"공장,주택",0,4,4,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 안암동5가 156번지,11290,12500,0,0156,0000,10091527,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 개운사길 59 (안암동5가),,,,,0,112904121487,12501,0,59,,0,1711.78,0,3382.6,2838.63,0,10000,교육연구시설,"문화및집회시설,제2종근린생활시설",0,0,4,1,29.25,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20231109
서울특별시 성북구 안암동5가 158번지,11290,12500,0,0158,0000,10091528,1,일반,1,총괄표제부,1,신대장,,,,,,0,,,0,,,0,59.5,0,59.5,59.5,0,01000,단독주택,주택,0,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 안암동5가 160-10번지,11290,12500,0,0160,0010,10091530,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 개운사길 83 (안암동5가),,,,,0,112904121487,12501,0,83,,0,161.39,0,683.99,683.99,0,04000,제2종근린생활시설,"제2종근린생활시설,주택",0,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
